Generation,Alive,AvgHealth,AvgHunger,Apples,AvgMaxQ,LeaderGenes
176895613.1044,1,4.233333333336445,-143.64999999999486,9,19.638071033682003,0
176895615.3087,6,100,51.55000000000276,12,0.8182780094515815,50.662012359310204
176895615.3121,6,100,8.216666666670568,11,1.5945371204962118,50.662012359310204
176895615.3156,6,72.14444444444602,-41.783333333328905,11,1.5945371204962118,50.662012359310204
176895615.3191,6,38.81111111111459,-91.78333333332633,11,1.5945371204962118,50.662012359310204
176895615.3226,6,5.477777777780973,-141.78333333332827,11,1.5945371204962118,50.662012359310204
176895617.5267,6,100,90.00000000000057,13,0,54.70926123293142
176895617.5302,6,100,46.25833333333639,11,1.501353307367619,54.70926123293142
176895617.5336,6,94.44444444444476,-3.741666666663086,11,1.501353307367619,54.70926123293142
176895617.5372,6,64.17222222222426,-53.74166666666209,11,1.501353307367619,54.70926123293142
176895617.5406,6,30.838888888892345,-103.74166666665936,11,1.501353307367619,54.70926123293142
176895617.544,1,18.366666666669854,-122.44999999999163,11,9.008119844205714,0
176895619.7482,6,100,71.07500000000164,13,1.6418677201115308,43.57186156879987
176895619.7517,6,100,33.6583333333366,11,2.427970134343172,43.57186156879987
176895619.7552,6,87.28333333333406,-16.341666666663304,11,2.427970134343172,43.57186156879987
176895619.7587,6,55.77222222222474,-66.34166666666148,11,2.427970134343172,43.57186156879987
176895619.7621,6,22.43888888889211,-116.34166666665892,11,2.427970134343172,43.57186156879987
176895619.7656,2,5.466666666669774,-141.79999999999444,11,4.852411742694924,0
176895621.9698,7,100,67.0785714285733,10,3.392938855526768,53.214549155349594
176895621.9732,7,100,17.07857142857497,10,3.392938855526768,53.214549155349594
176895621.9767,7,78.05238095238221,-32.92142857142505,10,3.392938855526768,53.214549155349594
176895621.9802,7,44.71904761905076,-82.92142857142245,10,3.392938855526768,53.214549155349594
176895621.9837,7,11.385714285717468,-132.92142857142184,10,3.392938855526768,53.214549155349594
176895624.1878,6,100,91.4333333333338,17,1.6540720333333334,77.41225568694742
176895624.1913,6,100,46.34166666666972,16,1.6540720333333334,77.41225568694742
176895624.1948,6,94.95555555555585,-3.658333333329759,16,1.6540720333333334,77.41225568694742
176895624.1982,6,64.2277777777798,-53.65833333332881,16,1.6540720333333334,77.41225568694742
176895624.2018,6,30.894444444447952,-103.65833333332603,16,1.6540720333333334,77.41225568694742
176895624.2052,1,15.633333333336404,-126.5499999999914,16,4.9515322,0
176895626.4101,6,100,81.39166666666773,24,2.461785895967157,38.534931100201355
176895626.4135,6,100,37.63333333333659,22,3.246945773509376,38.534931100201355
176895626.417,6,90.99444444444494,-12.36666666666324,22,3.246945773509376,38.534931100201355
176895626.4205,6,58.42222222222458,-62.36666666666172,22,3.246945773509376,38.534931100201355
176895626.424,6,25.088888888892328,-112.36666666665906,22,3.246945773509376,38.534931100201355
176895626.4274,2,2.28333333333645,-146.57499999999553,22,4.8233135067200195,0
176895628.6316,6,100,60.01666666666893,24,5.685779336629569,66.53857786735419
176895628.6352,6,100,19.483333333336997,21,6.935585335673726,66.53857786735419
176895628.6385,6,78.15000000000124,-30.516666666662392,21,6.935585335673726,66.53857786735419
176895628.642,6,46.32222222222527,-80.5166666666603,21,6.935585335673726,66.53857786735419
176895628.6454,6,12.988888888892111,-130.516666666661,21,6.935585335673726,66.53857786735419
176895628.6489,1,9.033333333336428,-136.44999999999322,21,16.663512014042354,0
176895630.8531,6,100,60.10000000000227,22,1.229311140913122,38.7006125497767
176895630.8566,6,100,10.100000000003554,22,1.229311140913122,38.7006125497767
176895630.86,6,73.40000000000151,-39.89999999999632,22,1.229311140913122,38.7006125497767
176895630.8635,6,40.06666666667007,-89.89999999999348,22,1.229311140913122,38.7006125497767
176895630.867,6,6.733333333336436,-139.89999999999404,22,1.229311140913122,38.7006125497767
176895633.0711,6,100,66.64166666666857,22,2.483531666666667,48.79332331884938
176895633.0746,6,100,17.85000000000337,20,3.818073099213174,48.79332331884938
176895633.0781,6,77.79444444444572,-32.149999999996346,20,3.818073099213174,48.79332331884938
176895633.0816,6,45.23333333333645,-82.14999999999392,20,3.818073099213174,48.79332331884938
176895633.0851,6,11.900000000003173,-132.14999999999392,20,3.818073099213174,48.79332331884938
176895633.0885,1,4.633333333336443,-143.04999999999472,20,12.928438595279044,0
176895635.2934,7,100,51.60000000000275,18,3.5443311831285724,53.07862667848477
176895635.2969,7,100,1.6000000000035421,18,3.5443311831285724,53.07862667848477
176895635.3003,7,67.73333333333517,-48.39999999999584,18,3.5443311831285724,53.07862667848477
176895635.3038,7,34.40000000000373,-98.39999999999301,18,3.5443311831285724,53.07862667848477
176895635.3073,7,1.0666666666697826,-148.39999999999597,18,3.5443311831285724,53.07862667848477
176895637.5114,6,100,56.40833333333581,19,1.6549904244304188,43.80125731177873
176895637.5149,6,100,6.408333333336924,19,1.6549904244304188,43.80125731177873
176895637.5184,6,70.93888888889053,-43.59166666666275,19,1.6549904244304188,43.80125731177873
176895637.5218,6,37.6055555555591,-93.59166666665995,19,1.6549904244304188,43.80125731177873
176895637.5253,6,4.272222222225326,-143.5916666666615,19,1.6549904244304188,43.80125731177873
176895639.7295,7,100,78.51428571428694,20,2.114720235595788,74.82510425501272
176895639.733,7,100,28.51428571428929,20,2.114720235595788,74.82510425501272
176895639.7364,7,85.6761904761913,-21.485714285710916,20,2.114720235595788,74.82510425501272
176895639.7399,7,52.34285714285985,-71.48571428570881,20,2.114720235595788,74.82510425501272
176895639.7434,7,19.00952380952711,-121.48571428570631,20,2.114720235595788,74.82510425501272
176895641.9475,6,100,90.06666666666723,23,0.7068908863784227,44.1680032855746
176895641.951,6,100,49.92500000000322,19,2.9319488557292126,44.1680032855746
176895641.9545,6,97.00000000000017,13.258333333337738,17,4.355466092500513,44.1680032855746
176895641.9579,6,76.95000000000131,-23.40833333332829,15,5.232215364299106,44.1680032855746
